Unitats;Localitat;Grup;Municipi;Superfície;Inici d'activitat;Denominació comercial;Places;Signatura
9;Campanet;Agroturisme;CAMPANET;;25/04/1996;ES FANGAR;50;AG/55
8;Santa Margalida;Agroturisme;SANTA MARGALIDA;;03/02/1997;SON DOBLONS;16;AG/58
9;Calvià;Agroturisme;CALVIÀ;;13/02/1997;MOFARES;18;AG/59
14;Manacor;Agroturisme;MANACOR;0;18/03/1993;ZENARA;32;AG/6
10;Felanitx;Agroturisme;FELANITX;;25/08/1997;ES PASSARELL;20;AG/60
10;Petra;Agroturisme;PETRA;;29/12/1997;SON SANT ANDREU;26;AG/62
13;Manacor;Agroturisme;MANACOR;0;13/01/1998;SON SUREDA;30;AG/63
6;Calvià;Agroturisme;CALVIÀ;;23/02/1998;SON MALERO;12;AG/64
6;Bunyola;Agroturisme;BUNYOLA;;28/04/1998;BARCELONA;12;AG/65
15;Son Servera;Agroturisme;SON SERVERA;;24/04/1998;SON GENER;30;AG/66
7;Porreres;Agroturisme;PORRERES;;03/06/1998;SON MERCADAL;16;AG/67
8;Port (El);Agroturisme;SÓLLER;;08/09/1998;MULETA DE CA S´HEREU;16;AG/69
4;Campos;Agroturisme;CAMPOS;;10/09/1998;SANT BLAI;8;AG/70
26;Campos;Agroturisme;CAMPOS;;10/09/1998;SON MARGE;56;AG/71
8;Deià;Agroturisme;DEIÀ;;20/11/1998;SA PEDRISSA;16;AG/72
